Mon Dec 28 13:52:05 CET 2020, DK/sensor, temperature, 15°C
Mon Dec 28 13:52:05 CET 2020, DK/sensor/data, ctrl, +
Mon Dec 28 13:52:15 CET 2020, DK/sensor, temperature, 22°C
Mon Dec 28 13:52:15 CET 2020, DK/sensor/data, ctrl, -
Mon Dec 28 13:52:26 CET 2020, DK/sensor, temperature, 15°C
Mon Dec 28 13:52:26 CET 2020, DK/sensor/data, ctrl, +
Mon Dec 28 13:52:36 CET 2020, DK/sensor, temperature, 17°C
Mon Dec 28 13:52:36 CET 2020, DK/sensor/data, ctrl, +
Mon Dec 28 13:52:46 CET 2020, DK/sensor, temperature, 23°C
Mon Dec 28 13:52:46 CET 2020, DK/sensor/data, ctrl, -
Mon Dec 28 13:52:56 CET 2020, DK/sensor, temperature, 15°C
Mon Dec 28 13:52:56 CET 2020, DK/sensor/data, ctrl, +
Mon Dec 28 13:53:06 CET 2020, DK/sensor, temperature, 23°C
Mon Dec 28 13:53:06 CET 2020, DK/sensor/data, ctrl, -
Mon Dec 28 13:53:16 CET 2020, DK/sensor, temperature, 20°C
Mon Dec 28 13:53:16 CET 2020, DK/sensor/data, ctrl, +
Mon Dec 28 13:57:06 CET 2020, DK/sensor, temperature, 16°C
Mon Dec 28 13:57:16 CET 2020, DK/sensor, temperature, 22°C
Mon Dec 28 13:57:26 CET 2020, DK/sensor, temperature, 21°C
Mon Dec 28 13:57:36 CET 2020, DK/sensor, temperature, 21°C
Mon Dec 28 13:57:46 CET 2020, DK/sensor, temperature, 24°C
Mon Dec 28 13:57:56 CET 2020, DK/sensor, temperature, 22°C
Mon Dec 28 13:58:07 CET 2020, DK/sensor, temperature, 16°C
Mon Dec 28 13:58:07 CET 2020, DK/sensor/data, ctrl, +
Mon Dec 28 13:58:17 CET 2020, DK/sensor, temperature, 19°C
Mon Dec 28 13:58:17 CET 2020, DK/sensor/data, ctrl, +
Mon Dec 28 13:58:27 CET 2020, DK/sensor, temperature, 23°C
Mon Dec 28 13:58:27 CET 2020, DK/sensor/data, ctrl, -
Mon Dec 28 13:58:37 CET 2020, DK/sensor, temperature, 17°C
Mon Dec 28 13:58:37 CET 2020, DK/sensor/data, ctrl, +
Mon Dec 28 13:58:47 CET 2020, DK/sensor, temperature, 15°C
Mon Dec 28 13:58:47 CET 2020, KDK/sensor/data, ctrl, +
Mon Dec 28 13:58:57 CET 2020, DK/sensor, temperature, 24°C
Mon Dec 28 13:58:57 CET 2020, DK/sensor/data, ctrl, -
Mon Dec 28 13:59:18 CET 2020, DK/sensor, temperature, 17°C
Mon Dec 28 13:59:18 CET 2020, DK/sensor/data, ctrl, +
